transaction_id,transaction_date,clean_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,day_name,month_name,day_number,time_bucket,day_type,Month_period,Bucket_spend,clean_unit_price,revenue
1,2023-01-01,07:06:11,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
2,2023-01-01,07:08:56,2,5,Lower Manhattan,57,"3,1",Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.1,6.2
3,2023-01-01,07:14:04,2,5,Lower Manhattan,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,4.5,9
4,2023-01-01,07:20:24,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2,2
5,2023-01-01,07:22:41,2,5,Lower Manhattan,57,"3,1",Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.1,6.2
6,2023-01-01,07:22:41,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
7,2023-01-01,07:25:49,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2,2
8,2023-01-01,07:33:34,2,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2,4
9,2023-01-01,07:39:13,1,5,Lower Manhattan,39,"4,25",Coffee,Barista Espresso,Latte Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,4.25,4.25
10,2023-01-01,07:39:34,2,5,Lower Manhattan,58,"3,5",Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.5,7
11,2023-01-01,07:43:05,1,5,Lower Manhattan,56,"2,55",Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.55,2.55
12,2023-01-01,07:44:35,2,5,Lower Manhattan,33,"3,5",Coffee,Gourmet brewed coffee,Ethiopia Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.5,7
13,2023-01-01,07:45:51,1,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
14,2023-01-01,07:48:19,1,5,Lower Manhattan,57,"3,1",Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.1,3.1
15,2023-01-01,07:52:36,2,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
16,2023-01-01,07:59:58,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
17,2023-01-01,07:59:58,1,5,Lower Manhattan,79,"3,75",Bakery,Scone,Jumbo Savory Scone,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,3.75
18,2023-01-01,08:00:18,1,8,Hell's Kitchen,42,"2,5",Tea,Brewed herbal tea,Lemon Grass Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,2.5
19,2023-01-01,08:00:39,2,8,Hell's Kitchen,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,4.5,9
20,2023-01-01,08:11:45,1,8,Hell's Kitchen,61,"4,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,4.75,4.75
21,2023-01-01,08:17:27,2,8,Hell's Kitchen,33,"3,5",Coffee,Gourmet brewed coffee,Ethiopia Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.5,7
22,2023-01-01,08:24:26,2,5,Lower Manhattan,56,"2,55",Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.55,5.1
23,2023-01-01,08:24:26,1,5,Lower Manhattan,69,"3,25",Bakery,Biscotti,Hazelnut Biscotti,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.25,3.25
